#t[s:double],w.x[rad/s:double],w.y[rad/s:double],w.z[rad/s:double],a.x[m/s^2:double],a.y[m/s^2:double],a.z[m/s^2:double]
129877.290288875,1.921137831e-01,-5.565021309e-02,-1.439113664e-01,7.939771255e-01,5.230283164e+00,7.890241209e+00
129877.300295875,9.706449857e-02,-8.514418953e-02,-1.735736546e-01,8.852560638e-01,5.324105942e+00,7.672668133e+00
129877.310301875,7.255782390e-03,-1.069613378e-01,-1.968763141e-01,8.954314209e-01,5.410746114e+00,7.506271117e+00
129877.320307875,-3.097629190e-02,-1.042680830e-01,-2.128712596e-01,9.220669144e-01,5.445910951e+00,7.507318581e+00
129877.330313875,-3.738279222e-03,-8.334788737e-02,-2.129982924e-01,9.299977074e-01,5.443965662e+00,7.717858689e+00
129877.340319875,5.625475065e-02,-4.238713823e-02,-1.844382866e-01,8.464999245e-01,5.458031597e+00,7.889941933e+00
129877.350326875,1.258724447e-01,8.542009302e-02,-1.381924942e-01,7.139210075e-01,5.669918444e+00,7.525424731e+00
129877.360332875,1.750799385e-01,1.577664619e-01,-8.524272649e-02,7.305307816e-01,6.106261697e+00,6.882282310e+00
129877.370338875,1.864068952e-01,2.111998597e-01,-3.750476500e-02,6.726210289e-01,6.129455525e+00,7.006032608e+00
129877.380344875,1.744855209e-01,2.578027820e-01,1.747299991e-03,7.407061386e-01,6.098779816e+00,7.157016950e+00
129877.390350875,1.396513739e-01,2.759588827e-01,4.116235044e-02,7.279869423e-01,6.039373688e+00,7.241262921e+00
129877.400357875,1.005183522e-01,2.918353175e-01,6.778623817e-02,6.494272003e-01,5.909937160e+00,7.346009244e+00
129877.410363875,5.522064520e-02,2.771858010e-01,6.789329725e-02,6.540659660e-01,5.738901379e+00,7.561786668e+00
129877.420369875,-8.825183220e-03,2.297354609e-01,5.217558681e-02,5.696703575e-01,5.463119276e+00,7.775020254e+00
129877.430375875,-7.093169774e-02,1.822004323e-01,1.297944820e-02,5.680243439e-01,5.129577057e+00,8.023568314e+00
129877.440381875,-9.921606641e-02,1.372622521e-01,-2.518631338e-02,6.522703148e-01,4.912303256e+00,8.296956216e+00
129877.450387875,-4.423617097e-02,-4.191975345e-02,-4.457332716e-02,6.497264755e-01,4.835838441e+00,8.891017503e+00
129877.460395417,-3.168016538e-02,-1.900599533e-01,-2.780819547e-02,2.088940948e-01,5.014356102e+00,1.050500870e+01
129877.470401417,-6.301891351e-02,-2.284145330e-01,-3.932689982e-02,5.361515343e-01,5.519981565e+00,9.886706118e+00
129877.480407417,-9.549989143e-02,-2.471900850e-01,-2.960289973e-02,7.107786179e-01,5.539733729e+00,8.759186774e+00
129877.490413417,-1.092545858e-01,-1.650741760e-01,-3.428686745e-02,5.810428154e-01,5.678597425e+00,8.168866427e+00
129877.500419417,-9.732309151e-02,-9.990848829e-02,-2.716211259e-02,7.695861961e-01,5.861454577e+00,7.482179463e+00
129877.510425417,-6.907707235e-02,-8.337212214e-02,-4.114024620e-02,5.360018967e-01,5.813271268e+00,7.754220627e+00
129877.520432417,-5.050551849e-02,-5.832322787e-02,-6.155870228e-02,6.449380722e-01,5.599289495e+00,8.150461002e+00
129877.530438417,-4.463963988e-02,-2.580363412e-02,-7.133543296e-02,8.845078758e-01,5.457881960e+00,7.968052763e+00
129877.540444417,-3.024472155e-02,-1.865544344e-03,-8.640945736e-02,1.018134256e+00,5.370343961e+00,7.759607581e+00
129877.550450417,-1.798006578e-02,1.876196988e-02,-1.089350065e-01,1.108814644e+00,5.302109214e+00,7.742848169e+00
129877.560456417,-1.515738134e-02,3.386049536e-02,-1.303582732e-01,1.104774429e+00,5.284900890e+00,7.677306898e+00
129877.570463417,-6.869624032e-03,4.258927215e-02,-1.389464351e-01,1.042674823e+00,5.303605590e+00,7.730727523e+00
129877.580469417,2.282622002e-02,4.519863739e-02,-1.240401899e-01,9.337386475e-01,5.437082333e+00,7.893533236e+00
129877.590475417,7.932331833e-02,3.527330232e-02,-8.240859046e-02,8.274959488e-01,5.616497820e+00,8.201337787e+00
129877.600481417,1.273305254e-01,2.631416210e-02,-4.291044938e-02,8.306383385e-01,5.704784006e+00,8.343343873e+00
129877.610487417,1.553027716e-01,7.315969831e-03,-1.188382373e-02,9.033622139e-01,5.685780030e+00,8.322693884e+00
129877.620493417,1.513466458e-01,-2.386724969e-03,8.445150133e-03,9.522937103e-01,5.678747063e+00,8.203283076e+00
129877.630500417,1.113102799e-01,-7.163370700e-03,2.130342451e-02,9.370306747e-01,5.738901379e+00,8.047959243e+00
129877.640506417,4.367317872e-02,-9.078183524e-03,2.562866443e-02,9.329904594e-01,5.805340475e+00,7.893533236e+00
129877.650512417,-2.193352842e-02,-1.320288742e-02,1.502369066e-02,9.328408218e-01,5.794865843e+00,7.847295216e+00
129877.660518417,-5.991792873e-02,-2.126720552e-02,1.402447262e-02,8.701426659e-01,5.795913306e+00,7.971195152e+00
129877.670524417,-7.886898305e-02,-3.018480043e-02,1.088220885e-02,8.095394363e-01,5.763741222e+00,8.027159616e+00
129877.680530417,-7.138709828e-02,-3.768159890e-02,8.781507378e-03,7.932289375e-01,5.717353564e+00,7.954735016e+00
129877.690537417,-5.558949301e-02,-3.097469401e-02,1.087022462e-02,7.761702507e-01,5.647622441e+00,7.908197721e+00
129877.700543417,-3.900199416e-02,-8.052333872e-03,4.337224151e-03,8.083423355e-01,5.589114138e+00,7.729530422e+00
129877.710549417,-2.031858754e-02,1.706740048e-02,-1.141430843e-03,8.390180443e-01,5.535693513e+00,7.620743884e+00
129877.720555417,7.940214790e-03,3.579474926e-02,-9.795106489e-03,8.183680550e-01,5.468356592e+00,7.713668836e+00
129877.730561417,3.857775260e-02,3.288684367e-02,-1.940565592e-02,7.793126404e-01,5.425260962e+00,7.896525988e+00
129877.740568417,6.943739805e-02,1.483939991e-02,-2.466939381e-02,7.507318581e-01,5.413888504e+00,8.092251974e+00
129877.750574417,9.495500867e-02,1.056742321e-03,-2.995150752e-02,7.538742477e-01,5.379172580e+00,8.262389929e+00
129877.760580417,9.613319113e-02,-1.304229881e-02,-3.734950271e-02,7.942764008e-01,5.366453384e+00,8.283488831e+00
129877.770586417,7.709105671e-02,-1.983469117e-02,-4.903998094e-02,8.475473877e-01,5.400271482e+00,8.128763549e+00
129877.780592417,4.733209574e-02,-1.484392728e-02,-5.971686007e-02,8.927379440e-01,5.460725074e+00,7.980622321e+00
129877.790598417,1.557469869e-02,-1.853746540e-02,-6.928027155e-02,8.946832329e-01,5.485864191e+00,7.849689418e+00
129877.800605417,-4.515389628e-03,-2.097132832e-02,-7.245529220e-02,8.201637062e-01,5.510853671e+00,7.843105363e+00
129877.810611417,6.660565886e-04,-1.114905759e-02,-7.037536339e-02,7.799111908e-01,5.557091691e+00,7.916128514e+00
129877.820617417,3.031316479e-02,-1.621066156e-02,-7.463828534e-02,7.428010651e-01,5.545270320e+00,8.065766118e+00
129877.830623417,8.002319707e-02,-1.667272000e-02,-7.573737192e-02,6.872855141e-01,5.525817432e+00,8.261342466e+00
129877.840629417,1.297643883e-01,-1.384071450e-02,-6.724907858e-02,6.998550728e-01,5.529558372e+00,8.371775018e+00
129877.850636417,1.678822130e-01,-6.783337613e-03,-5.023733817e-02,7.193079613e-01,5.555744952e+00,8.312668164e+00
129877.860642417,1.859411084e-01,1.134240308e-03,-2.681323849e-02,7.511807709e-01,5.598391669e+00,8.132055576e+00
129877.870648417,1.965492779e-01,8.928247554e-03,-9.786318058e-03,7.749731499e-01,5.631461580e+00,8.000524123e+00
129877.880654417,1.521485236e-01,8.379103738e-03,-7.618504930e-03,7.963713272e-01,5.667524242e+00,7.825148851e+00
129877.890660417,7.169948708e-02,1.277624901e-02,-8.652876698e-03,8.069955971e-01,5.752368764e+00,7.459284910e+00
129877.900666417,-1.598429286e-03,3.347886438e-02,-1.617950257e-02,7.749731499e-01,5.854571247e+00,7.279719785e+00
129877.910673417,-4.086008166e-02,4.163372995e-02,-1.939606854e-02,7.115268059e-01,5.906495496e+00,7.379827342e+00
129877.920679417,-5.891977596e-02,4.790440906e-02,-1.941604224e-02,6.440402466e-01,5.889885722e+00,7.534552625e+00
129877.930685417,-3.672419248e-02,5.690749144e-02,-6.672017479e-03,6.642413231e-01,5.789478889e+00,7.770531126e+00
129877.940691417,1.942935805e-02,5.767900921e-02,7.158310694e-03,6.227917068e-01,5.716156464e+00,8.146720061e+00
129877.950697417,5.040564995e-02,4.188832815e-02,2.109170320e-02,5.089174904e-01,5.709123496e+00,8.324040622e+00
129877.960704417,4.334640885e-02,2.018383159e-02,3.081330644e-02,5.433341393e-01,5.716755014e+00,8.214954809e+00
129877.970710417,1.916597142e-02,1.232803900e-02,3.727360262e-02,5.713163712e-01,5.692513722e+00,8.049006706e+00
129877.980716417,-3.787094965e-02,7.287740323e-03,3.947337368e-02,5.802946274e-01,5.699845965e+00,7.849390143e+00
129877.990722417,-1.205029793e-01,1.707246048e-02,3.841263661e-02,6.311714127e-01,5.726930371e+00,7.521683791e+00
129878.000728417,-2.361648644e-01,4.156874882e-02,2.982846947e-02,6.542156036e-01,5.804891563e+00,7.260266897e+00
129878.010734417,-3.665835914e-01,6.263515199e-02,2.233939417e-02,6.714239281e-01,5.850381394e+00,7.130381457e+00
129878.020741417,-4.998250029e-01,6.860302968e-02,3.627358563e-02,5.725134720e-01,5.865943705e+00,7.165695931e+00
129878.030747417,-5.831766187e-01,5.785104941e-02,4.599119413e-02,4.782417816e-01,5.838410386e+00,7.377882053e+00
129878.040753417,-5.860728063e-01,3.834019863e-02,5.036277306e-02,3.752911102e-01,5.678597425e+00,7.786243074e+00
129878.050759417,-5.127317468e-01,1.548202068e-02,6.003484151e-02,2.340332123e-01,5.364807370e+00,8.218546111e+00
129878.060765417,-3.717567818e-01,-3.280481831e-03,6.857187070e-02,2.322375610e-01,5.002085818e+00,8.634987563e+00
129878.070772417,-1.971258523e-01,-4.271177756e-03,8.126236592e-02,2.844610847e-01,4.760121813e+00,8.932317481e+00
129878.080778417,-6.933113792e-02,1.906264077e-02,9.492651284e-02,3.363853333e-01,4.796034838e+00,8.860042519e+00
129878.090784417,-4.735206945e-02,4.211736001e-02,1.022621901e-01,4.185363777e-01,5.027374574e+00,8.371775018e+00
129878.100790417,-1.300703855e-01,5.621320534e-02,9.691056786e-02,4.360439774e-01,5.285948353e+00,7.831433630e+00
129878.110796417,-2.591990773e-01,5.233697437e-02,7.887803780e-02,4.141968872e-01,5.483469990e+00,7.522581616e+00
129878.120802417,-3.861032306e-01,3.655082070e-02,5.556978562e-02,3.781342247e-01,5.574898566e+00,7.531559872e+00
129878.130809417,-4.347157742e-01,2.613706189e-02,4.391845585e-02,2.876034744e-01,5.550956549e+00,7.828889791e+00
129878.140815417,-3.615408959e-01,7.539409046e-03,3.862835266e-02,1.518821678e-01,5.302707764e+00,8.406790217e+00
129878.150821417,-2.025533746e-01,-2.079795653e-02,3.546371834e-02,5.312134933e-02,4.962581491e+00,9.020603667e+00
129878.160827417,-8.567122911e-03,-5.408986700e-02,3.656919651e-02,-3.366846085e-02,4.715829082e+00,9.444078086e+00
129878.170833417,1.757965951e-01,-8.429357587e-02,2.912805811e-02,1.451484756e-02,4.529230991e+00,9.604639235e+00
129878.180840417,2.882323269e-01,-1.077722704e-01,3.237338621e-02,1.497872414e-01,4.493317966e+00,9.384372682e+00
129878.190846417,2.957261959e-01,-1.207186954e-01,2.283074739e-02,2.977788315e-01,4.617217902e+00,8.797942913e+00
129878.200852417,2.130502240e-01,-1.164190218e-01,6.858172439e-03,4.773439560e-01,4.853046765e+00,8.128464274e+00
129878.210858417,6.375554386e-02,-1.173199692e-01,-1.544447011e-02,5.099649536e-01,5.166238270e+00,7.649773579e+00
129878.220864417,-1.023199807e-01,-1.238026359e-01,-2.810220845e-02,4.915595284e-01,5.398775106e+00,7.483077289e+00
129878.230870417,-2.229667707e-01,-1.286501217e-01,-4.506840881e-02,3.895066826e-01,5.468506229e+00,7.683142765e+00
129878.240877417,-2.684410452e-01,-1.401371345e-01,-6.311931468e-02,2.967313683e-01,5.326949056e+00,8.083423355e+00
129878.250883417,-2.247415012e-01,-1.699360428e-01,-6.833112093e-02,1.312321785e-01,5.063137961e+00,8.537274207e+00
129878.260889417,-9.417976247e-02,-2.094664082e-01,-7.248538592e-02,-1.047463226e-02,4.858433719e+00,8.964339928e+00
129878.270895417,8.416467888e-02,-2.657382031e-01,-7.978750731e-02,-1.424549988e-01,4.770895721e+00,9.292195918e+00
129878.280901417,2.348644429e-01,-3.137187785e-01,-9.244924040e-02,-1.821089638e-01,4.816684827e+00,9.298929610e+00
129878.290908417,3.113150093e-01,-3.507657461e-01,-1.147207240e-01,-1.243488487e-01,4.994005388e+00,9.050231913e+00
129878.300914417,2.888741487e-01,-3.479182943e-01,-1.403318115e-01,-2.992752075e-02,5.246444025e+00,8.553435069e+00
129878.310920417,1.933822468e-01,-3.427664092e-01,-1.712401928e-01,1.750759964e-02,5.525069244e+00,7.951891901e+00
129878.320926417,6.278295743e-02,-3.239972487e-01,-2.064634277e-01,1.436520996e-02,5.752219126e+00,7.729081509e+00
129878.330932417,-8.693196957e-02,-2.946039398e-01,-2.342583074e-01,1.720832443e-02,5.846041904e+00,7.658302923e+00
129878.340938417,-2.070860748e-01,-2.550466765e-01,-2.525217335e-01,8.828618622e-03,5.826289740e+00,7.716960863e+00
129878.350945417,-2.540181637e-01,-2.307828822e-01,-2.643536256e-01,-1.062426987e-02,5.680841989e+00,8.071901260e+00
129878.360951417,-2.328729310e-01,-2.403430978e-01,-2.813933292e-01,-1.117792900e-01,5.412392128e+00,8.461707217e+00
129878.370957417,-1.576892303e-01,-2.600728605e-01,-3.026863674e-01,-1.539770943e-01,5.219808532e+00,8.730007441e+00
129878.380963417,-7.076711438e-02,-2.861380170e-01,-3.207532522e-01,-1.587654976e-01,5.109226343e+00,8.864830922e+00
129878.390969417,1.844345581e-02,-3.240726162e-01,-3.355588300e-01,-1.665466530e-01,5.103390476e+00,8.850914625e+00
129878.400976417,9.504102877e-02,-3.632093663e-01,-3.418121985e-01,-1.587654976e-01,5.164592256e+00,8.789862482e+00
129878.410982417,2.032713628e-01,-3.899999679e-01,-3.406811540e-01,-3.254617882e-01,5.170278485e+00,8.951471095e+00
129878.420988417,3.239988466e-01,-4.102045722e-01,-3.545330538e-01,-3.595791618e-01,5.080795198e+00,9.263166223e+00
129878.430994417,4.370263328e-01,-4.132275263e-01,-3.791401296e-01,-3.380313469e-01,4.812494975e+00,9.251943403e+00
129878.441000417,5.213835582e-01,-4.079523368e-01,-4.048375036e-01,-2.926911530e-01,4.588188206e+00,9.119364486e+00
129878.451007417,5.116004359e-01,-4.016915114e-01,-4.294078278e-01,-2.575263161e-01,4.631433474e+00,8.687061449e+00
129878.461013042,3.769491470e-01,-3.926857659e-01,-4.571076327e-01,-2.050035172e-01,5.021239432e+00,7.938574155e+00
129878.471019042,1.714729531e-01,-3.780042914e-01,-4.698476627e-01,-1.020528458e-01,5.554098939e+00,7.326107442e+00
129878.481025042,-5.574262478e-03,-3.433962468e-01,-4.667030021e-01,3.890577698e-03,5.967996551e+00,7.151480359e+00
129878.491031042,-7.910067807e-02,-2.922779349e-01,-4.541107775e-01,3.591302490e-02,6.013636020e+00,7.497442499e+00
129878.501037042,-4.051253913e-02,-2.473786368e-01,-4.522353794e-01,3.591302490e-02,5.698499226e+00,7.862558252e+00
129878.511044042,9.343168052e-02,-2.186316771e-01,-4.556780478e-01,-1.005564697e-01,5.317821162e+00,8.227524368e+00
129878.521050042,2.686351897e-01,-2.079103231e-01,-4.878692738e-01,-1.623568001e-01,5.076904620e+00,8.467991997e+00
129878.531056042,4.251752659e-01,-2.059244039e-01,-4.847861322e-01,-2.566284904e-01,5.051466228e+00,8.399757249e+00
129878.541062042,5.871724256e-01,-2.212277265e-01,-4.880202750e-01,-2.554313896e-01,5.113715471e+00,8.455572076e+00
129878.551068042,6.857394796e-01,-2.307671695e-01,-4.773673643e-01,-1.900397568e-02,5.369146861e+00,8.505102122e+00
129878.561075042,7.133961412e-01,-2.335935824e-01,-4.613644293e-01,1.960252609e-01,5.648669904e+00,8.133402315e+00
129878.571081042,6.498406008e-01,-2.159032685e-01,-4.443375089e-01,2.929904282e-01,5.983558862e+00,7.663989152e+00
129878.581087042,4.780323557e-01,-1.888996140e-01,-4.603660103e-01,5.918167229e-01,6.271311974e+00,7.119158636e+00
129878.591093042,2.629160512e-01,-1.645924101e-01,-4.731491835e-01,7.649474304e-01,6.485144109e+00,6.814047562e+00
129878.601099042,5.002188844e-02,-1.423736571e-01,-4.752514829e-01,6.901286285e-01,6.600963615e+00,6.917297509e+00
129878.611105042,-8.777645795e-02,-1.181114607e-01,-4.742147142e-01,7.276876671e-01,6.541856761e+00,7.214328152e+00
129878.621112042,-1.618586753e-01,-1.147122018e-01,-4.741811584e-01,6.400000313e-01,6.385186190e+00,7.590517088e+00
129878.631118042,-1.963141208e-01,-1.421568758e-01,-4.601423047e-01,5.906196220e-01,6.236446412e+00,7.744494183e+00
129878.641124042,-2.419638977e-01,-1.989391987e-01,-4.363395035e-01,5.823895538e-01,6.206069978e+00,7.706037318e+00
129878.651130042,-3.004232131e-01,-2.483166021e-01,-4.157676494e-01,6.187514915e-01,6.396409010e+00,7.561936306e+00
129878.661136042,-3.878364159e-01,-2.732038425e-01,-4.070412694e-01,8.234557335e-01,6.612934623e+00,7.277774496e+00
129878.671143042,-4.818729003e-01,-2.830668596e-01,-4.101268079e-01,9.748889885e-01,6.757783823e+00,7.005882970e+00
129878.681149042,-5.399465899e-01,-2.968388646e-01,-4.196199119e-01,1.167771860e+00,6.754042883e+00,7.136666236e+00
129878.691155042,-5.439985895e-01,-3.066022794e-01,-4.120964818e-01,1.284938103e+00,6.634931351e+00,7.609670702e+00
129878.701161042,-5.013893437e-01,-3.222464866e-01,-3.981718777e-01,1.386392399e+00,6.448033984e+00,8.031499107e+00
129878.711167042,-4.261497166e-01,-3.201119630e-01,-3.758244941e-01,1.513734000e+00,6.162076523e+00,8.293514551e+00
129878.721173042,-3.329031257e-01,-3.264644012e-01,-3.641172379e-01,1.632695895e+00,5.897217964e+00,8.404396015e+00
129878.731180042,-2.515307713e-01,-3.156530324e-01,-3.556920615e-01,1.580771646e+00,5.797708958e+00,8.231714220e+00
129878.741186042,-1.944906544e-01,-3.127935964e-01,-3.610820332e-01,1.498171689e+00,5.812373443e+00,8.069656696e+00
129878.751192042,-1.755507854e-01,-3.126146319e-01,-3.739019581e-01,1.428889478e+00,5.870133558e+00,8.021772662e+00
129878.761198042,-2.065846016e-01,-3.012261562e-01,-4.027527811e-01,1.361552557e+00,5.890933185e+00,7.912686849e+00
129878.771204042,-2.408645448e-01,-2.833755200e-01,-4.305676345e-01,1.417217745e+00,5.873874498e+00,7.780856120e+00
129878.781211042,-2.519345065e-01,-2.543529231e-01,-4.477847046e-01,1.413177530e+00,5.850082119e+00,7.771728226e+00
129878.791217042,-2.450502351e-01,-2.142047044e-01,-4.501314822e-01,1.401805072e+00,5.784540849e+00,7.721449992e+00
129878.801223042,-2.009538801e-01,-1.778307176e-01,-4.332755367e-01,1.389085876e+00,5.739200655e+00,7.694365585e+00
129878.811229042,-1.386228611e-01,-1.552566989e-01,-4.056891825e-01,1.438316647e+00,5.711966611e+00,7.780706483e+00
129878.821235042,-6.975245001e-02,-1.423028171e-01,-3.684531305e-01,1.455973885e+00,5.710021322e+00,7.924358582e+00
129878.831241042,-2.274126518e-02,-1.523277543e-01,-3.225458259e-01,1.418414846e+00,5.760898107e+00,7.924508220e+00
129878.841248042,-5.342833779e-03,-1.670923194e-01,-2.840636808e-01,1.425298176e+00,5.877765076e+00,7.891438309e+00
129878.851254042,-3.558649007e-02,-1.846723784e-01,-2.562056842e-01,1.452981133e+00,6.100276192e+00,7.788786913e+00
129878.861260042,-8.926223552e-02,-1.982848600e-01,-2.432922824e-01,1.365443134e+00,6.316652168e+00,7.600243533e+00
129878.871266042,-1.333657811e-01,-2.161088646e-01,-2.303637006e-01,1.200093582e+00,6.446537608e+00,7.519289589e+00
129878.881272042,-1.584767270e-01,-2.315376220e-01,-2.195949424e-01,1.007210711e+00,6.509983952e+00,7.502829453e+00
129878.891279042,-1.613952852e-01,-2.466968676e-01,-2.109772195e-01,9.234136528e-01,6.534374881e+00,7.401674432e+00
129878.901285042,-1.325892033e-01,-2.658234242e-01,-2.098309949e-01,9.135375710e-01,6.522403873e+00,7.361421917e+00
129878.911291042,-8.040615963e-02,-2.922268022e-01,-2.065289415e-01,9.258078545e-01,6.528987927e+00,7.461978387e+00
129878.921297042,-4.086807114e-02,-3.198525711e-01,-1.989431934e-01,1.013645128e+00,6.535721619e+00,7.455843245e+00
129878.931303042,-3.308338496e-02,-3.457121316e-01,-1.913446622e-01,1.087117191e+00,6.615927375e+00,7.339125914e+00
129878.941310042,-6.134857887e-02,-3.709921883e-01,-1.943958459e-01,1.120486377e+00,6.615628100e+00,7.165695931e+00
129878.951316042,-1.044025726e-01,-3.997223701e-01,-2.006204523e-01,1.172859538e+00,6.507889025e+00,7.113472408e+00
129878.961322042,-1.370713034e-01,-4.131596157e-01,-2.069313451e-01,1.106570080e+00,6.384438002e+00,7.139509351e+00
129878.971328042,-1.466219317e-01,-4.209403072e-01,-2.239590645e-01,1.105073704e+00,6.202927589e+00,7.224054597e+00
129878.981334042,-1.288666367e-01,-4.132150095e-01,-2.410858535e-01,1.089661031e+00,6.004508126e+00,7.222707858e+00
129878.991340042,-8.911150060e-02,-3.911533830e-01,-2.625706393e-01,1.056591120e+00,5.915174477e+00,7.153276010e+00
129879.001347042,-3.472176166e-02,-3.559162997e-01,-2.852008506e-01,1.107018993e+00,5.942408521e+00,7.152078909e+00
129879.011353042,7.826497812e-03,-3.067689933e-01,-3.121634924e-01,1.105522617e+00,5.959018295e+00,7.140257539e+00
129879.021359042,2.202886959e-02,-2.687640867e-01,-3.294444784e-01,1.092204870e+00,6.012438919e+00,7.065139462e+00
