#t[s:double],q.x[double],q.y[double],q.z[double],q.w[double],p.x[m:double],p.y[m:double],p.z[m:double]
129876.931204042,0.038072391,0.287694676,0.956302538,-0.035609835,0.737444,0.899138,1.321837
129876.933704042,0.037957741,0.287634140,0.956336415,-0.035301754,0.737500,0.899054,1.321796
129876.936204042,0.037750969,0.287549049,0.956369379,-0.035328439,0.737494,0.899032,1.321742
129876.938704042,0.037619696,0.287453672,0.956404223,-0.035294754,0.737481,0.899000,1.321687
129876.941204042,0.037476161,0.287351900,0.956444383,-0.035181890,0.737477,0.898962,1.321632
129876.943704042,0.037314900,0.287371691,0.956436776,-0.035404502,0.737416,0.898973,1.321564
129876.946204042,0.037224511,0.287275854,0.956479837,-0.035121037,0.737464,0.898911,1.321519
129876.948704042,0.037058199,0.287261740,0.956492925,-0.035064257,0.737456,0.898890,1.321471
129876.951204042,0.036900619,0.287171223,0.956528332,-0.034993184,0.737454,0.898855,1.321426
129876.953704042,0.036823711,0.287135444,0.956534003,-0.035213315,0.737395,0.898874,1.321343
129876.956204042,0.036688447,0.287108090,0.956558105,-0.034911013,0.737444,0.898828,1.321305
129876.958704042,0.036563166,0.287135819,0.956547651,-0.035117964,0.737388,0.898846,1.321237
129876.961204042,0.036493962,0.287216326,0.956536793,-0.034817043,0.737441,0.898793,1.321216
129876.963704042,0.036324587,0.287301281,0.956518562,-0.034803577,0.737444,0.898774,1.321164
129876.966204042,0.036244362,0.287246365,0.956527875,-0.035066831,0.737408,0.898793,1.321099
129876.968704042,0.036151250,0.287346571,0.956510249,-0.034828251,0.737474,0.898757,1.321080
129876.971204042,0.036101711,0.287338518,0.956508125,-0.035017929,0.737420,0.898785,1.321008
129876.973704042,0.036015028,0.287387732,0.956498793,-0.034951102,0.737429,0.898772,1.320963
129876.976204042,0.035911820,0.287428344,0.956488499,-0.035007368,0.737448,0.898770,1.320927
129876.978704042,0.035804935,0.287411004,0.956507148,-0.034744596,0.737499,0.898729,1.320899
129876.981204042,0.035765799,0.287467404,0.956484082,-0.034947079,0.737460,0.898755,1.320843
129876.983704042,0.035694117,0.287523032,0.956470742,-0.034932547,0.737462,0.898752,1.320808
129876.986204042,0.035610707,0.287526294,0.956479829,-0.034734798,0.737534,0.898717,1.320790
129876.988704042,0.035610031,0.287521973,0.956473598,-0.034949786,0.737505,0.898747,1.320728
129876.991204042,0.035597519,0.287486524,0.956483469,-0.034973815,0.737523,0.898736,1.320696
129876.993704042,0.035401973,0.287611066,0.956459744,-0.034792890,0.737559,0.898752,1.320649
129876.996204042,0.035499712,0.287408950,0.956508843,-0.035029161,0.737568,0.898732,1.320621
129876.998704042,0.035424001,0.287537490,0.956475693,-0.034951114,0.737602,0.898728,1.320602
129877.001204042,0.035305355,0.287448611,0.956516708,-0.034684017,0.737632,0.898749,1.320538
129877.003704042,0.035215646,0.287475828,0.956509925,-0.034743754,0.737679,0.898727,1.320511
129877.006204042,0.035240675,0.287323780,0.956557151,-0.034652904,0.737702,0.898737,1.320480
129877.008704042,0.035294656,0.287186708,0.956600220,-0.034567637,0.737716,0.898734,1.320439
129877.011204042,0.035305654,0.287000629,0.956658617,-0.034471116,0.737744,0.898732,1.320406
129877.013704042,0.035315692,0.286979429,0.956664275,-0.034488022,0.737777,0.898744,1.320374
129877.016204042,0.035338922,0.286906657,0.956689042,-0.034373260,0.737820,0.898739,1.320349
129877.018704042,0.035337080,0.286778553,0.956730082,-0.034310112,0.737860,0.898740,1.320310
129877.021204042,0.035406686,0.286621731,0.956777323,-0.034221939,0.737909,0.898738,1.320278
129877.023704042,0.035452952,0.286588773,0.956799102,-0.033853276,0.737961,0.898696,1.320277
129877.026204042,0.035501321,0.286528095,0.956814538,-0.033868582,0.738046,0.898714,1.320242
129877.028704042,0.035527485,0.286474359,0.956824156,-0.034017634,0.738038,0.898758,1.320196
129877.031204042,0.035519099,0.286416294,0.956843611,-0.033980789,0.738082,0.898772,1.320172
129877.033704042,0.035564743,0.286429956,0.956840533,-0.033901457,0.738133,0.898788,1.320163
129877.036204042,0.035585712,0.286380538,0.956858954,-0.033771890,0.738134,0.898785,1.320150
129877.038704042,0.035678838,0.286403584,0.956849730,-0.033734148,0.738223,0.898814,1.320121
129877.041204042,0.035728018,0.286416551,0.956847356,-0.033654095,0.738275,0.898827,1.320102
129877.043704042,0.035819550,0.286452343,0.956835898,-0.033577482,0.738320,0.898839,1.320094
129877.046204042,0.035896460,0.286444893,0.956837090,-0.033519234,0.738370,0.898850,1.320083
129877.048704042,0.036003582,0.286455274,0.956833257,-0.033423435,0.738417,0.898866,1.320063
129877.051204042,0.036005210,0.286514057,0.956818287,-0.033343611,0.738471,0.898888,1.320068
129877.053704042,0.036146142,0.286550062,0.956806029,-0.033237845,0.738523,0.898894,1.320050
129877.056204042,0.036219871,0.286624709,0.956783408,-0.033168425,0.738570,0.898911,1.320055
129877.058704042,0.036311570,0.286639258,0.956777637,-0.033117235,0.738626,0.898927,1.320045
129877.061204042,0.036421451,0.286668834,0.956774450,-0.032812127,0.738726,0.898900,1.320058
129877.063704042,0.036479023,0.286700882,0.956758107,-0.032936467,0.738731,0.898947,1.320039
129877.066204042,0.036549668,0.286685612,0.956761473,-0.032898733,0.738779,0.898959,1.320047
129877.068704042,0.036654441,0.286723599,0.956751223,-0.032766917,0.738832,0.898959,1.320030
129877.071204042,0.036771697,0.286711359,0.956751735,-0.032714898,0.738888,0.898966,1.320028
129877.073704042,0.036862801,0.286691225,0.956756429,-0.032657290,0.738935,0.898970,1.320026
129877.076204042,0.036986374,0.286722174,0.956743087,-0.032640680,0.738985,0.898976,1.320027
129877.078704042,0.037010817,0.286739996,0.956738633,-0.032569913,0.739047,0.898980,1.320038
129877.081204042,0.037078896,0.286656124,0.956770630,-0.032321323,0.739144,0.898945,1.320043
129877.083704042,0.037084973,0.286666794,0.956768961,-0.032247774,0.739198,0.898939,1.320054
129877.086204042,0.037130986,0.286684666,0.956760696,-0.032283017,0.739240,0.898930,1.320054
129877.088704042,0.037100245,0.286792829,0.956728613,-0.032307337,0.739270,0.898924,1.320053
129877.091204042,0.037058233,0.286975943,0.956671004,-0.032430120,0.739303,0.898913,1.320056
129877.093704042,0.037027550,0.287161928,0.956612733,-0.032560647,0.739325,0.898892,1.320060
129877.096204042,0.037304785,0.286337917,0.956865466,-0.032050637,0.739408,0.898892,1.320038
129877.098704042,0.037300049,0.286262168,0.956889163,-0.032027897,0.739442,0.898881,1.320042
129877.101204042,0.037348073,0.286277939,0.956882165,-0.032027771,0.739477,0.898867,1.320043
129877.103704042,0.037323434,0.286203534,0.956907154,-0.031975394,0.739499,0.898853,1.320048
129877.106204042,0.037361955,0.286149884,0.956920581,-0.032014080,0.739528,0.898838,1.320043
129877.108704042,0.037272528,0.286255683,0.956891287,-0.032037170,0.739560,0.898827,1.320052
129877.111204042,0.037243262,0.286430355,0.956836466,-0.032155652,0.739574,0.898801,1.320065
129877.113704042,0.037142848,0.286581356,0.956790235,-0.032328069,0.739600,0.898772,1.320076
129877.116204042,0.037466354,0.285761679,0.957029377,-0.032125556,0.739616,0.898795,1.320062
129877.118704042,0.037475630,0.285717135,0.957042563,-0.032099289,0.739645,0.898772,1.320078
129877.121204042,0.037466690,0.285647025,0.957064225,-0.032094252,0.739662,0.898749,1.320083
129877.123704042,0.037453255,0.285632111,0.957069759,-0.032077297,0.739683,0.898727,1.320112
129877.126204042,0.037397229,0.285515788,0.957105523,-0.032106282,0.739717,0.898711,1.320124
129877.128704042,0.037449075,0.285413383,0.957136119,-0.032056443,0.739725,0.898683,1.320146
129877.131204042,0.037444467,0.285370169,0.957147495,-0.032108720,0.739749,0.898666,1.320162
129877.133704042,0.037554002,0.285420865,0.957125940,-0.032145940,0.739745,0.898644,1.320185
129877.136204042,0.037624898,0.285411232,0.957124699,-0.032189545,0.739756,0.898630,1.320203
129877.138704042,0.037677978,0.285388095,0.957130251,-0.032176607,0.739765,0.898603,1.320231
129877.141204042,0.037736710,0.285376304,0.957131646,-0.032174986,0.739770,0.898588,1.320259
129877.143704042,0.037770242,0.285324762,0.957144334,-0.032204499,0.739781,0.898562,1.320295
129877.146204042,0.037877126,0.285269293,0.957158213,-0.032172949,0.739787,0.898536,1.320329
129877.148704042,0.037966822,0.285298683,0.957145628,-0.032174127,0.739784,0.898523,1.320360
129877.151204042,0.037996767,0.285254275,0.957164544,-0.031985838,0.739843,0.898473,1.320418
129877.153704042,0.038097148,0.285222782,0.957163726,-0.032150957,0.739790,0.898476,1.320443
129877.156204042,0.038226721,0.285201363,0.957164522,-0.032176675,0.739793,0.898454,1.320480
129877.158704042,0.038330021,0.285162159,0.957172814,-0.032149409,0.739779,0.898444,1.320526
129877.161204042,0.038448749,0.285138600,0.957176134,-0.032101612,0.739767,0.898421,1.320573
129877.163704042,0.038506584,0.285189796,0.957158002,-0.032115656,0.739763,0.898393,1.320626
129877.166204042,0.038642043,0.285278118,0.957126573,-0.032124560,0.739782,0.898366,1.320681
129877.168704042,0.038986755,0.284650350,0.957306287,-0.031928663,0.739674,0.898374,1.320711
129877.171204042,0.039116215,0.284555358,0.957332530,-0.031836159,0.739642,0.898353,1.320753
129877.173704042,0.039215398,0.284656997,0.957299525,-0.031797113,0.739617,0.898333,1.320810
129877.176204042,0.039313500,0.284660959,0.957295840,-0.031745182,0.739642,0.898305,1.320869
129877.178704042,0.039684759,0.284403452,0.957359885,-0.031665789,0.739576,0.898332,1.320896
129877.181204042,0.039790571,0.284340235,0.957378928,-0.031516837,0.739497,0.898309,1.320951
129877.183704042,0.039976143,0.284267385,0.957392231,-0.031523909,0.739497,0.898318,1.320993
129877.186204042,0.040242762,0.284170131,0.957413540,-0.031421773,0.739502,0.898289,1.321063
129877.188704042,0.039903595,0.284912695,0.957211007,-0.031294641,0.739487,0.898261,1.321134
129877.191204042,0.040015657,0.284959183,0.957194720,-0.031237076,0.739401,0.898266,1.321177
129877.193704042,0.040590667,0.284123595,0.957427913,-0.030946057,0.739368,0.898256,1.321239
129877.196204042,0.040769972,0.284087571,0.957435833,-0.030813887,0.739312,0.898254,1.321295
129877.198704042,0.040900622,0.284063363,0.957439742,-0.030735641,0.739242,0.898251,1.321352
129877.201204042,0.041053653,0.284042103,0.957444099,-0.030587316,0.739188,0.898250,1.321420
129877.203704042,0.041148597,0.284092781,0.957428372,-0.030490916,0.739114,0.898256,1.321483
129877.206204042,0.041440107,0.283738000,0.957525739,-0.030346558,0.739127,0.898232,1.321564
129877.208704042,0.041494429,0.284030597,0.957439979,-0.030222397,0.739022,0.898251,1.321616
129877.211204042,0.041458951,0.284165677,0.957403984,-0.030130086,0.738927,0.898254,1.321667
129877.213704042,0.041595531,0.284164887,0.957404031,-0.029949315,0.738850,0.898254,1.321727
129877.216204042,0.041794953,0.284107690,0.957414289,-0.029887063,0.738849,0.898233,1.321821
129877.218704042,0.041789681,0.284276167,0.957368435,-0.029773493,0.738748,0.898252,1.321864
129877.221204042,0.041821274,0.284372617,0.957344061,-0.029605234,0.738655,0.898269,1.321932
129877.223704042,0.041890909,0.284507449,0.957305695,-0.029438334,0.738570,0.898287,1.321993
129877.226204042,0.041938215,0.284584137,0.957285599,-0.029294039,0.738478,0.898302,1.322059
129877.228704042,0.042017204,0.284718284,0.957245302,-0.029174493,0.738399,0.898325,1.322129
129877.231204042,0.042034200,0.284764414,0.957235672,-0.029023879,0.738311,0.898344,1.322193
129877.233704042,0.042127355,0.284732272,0.957243725,-0.028931596,0.738239,0.898361,1.322241
129877.236204042,0.042149752,0.284846376,0.957213117,-0.028782493,0.738152,0.898387,1.322320
129877.238704042,0.042164498,0.284887557,0.957206124,-0.028588033,0.738076,0.898403,1.322384
129877.241204042,0.042522250,0.284245815,0.957397153,-0.028046968,0.738045,0.898442,1.322445
129877.243704042,0.042407937,0.284501594,0.957327727,-0.027990464,0.737935,0.898479,1.322506
129877.246204042,0.042294365,0.284725533,0.957268698,-0.027907739,0.737824,0.898510,1.322575
129877.248704042,0.042244684,0.285083507,0.957166371,-0.027842003,0.737729,0.898539,1.322653
129877.251204042,0.042096262,0.285351117,0.957089887,-0.027960304,0.737589,0.898613,1.322724
129877.253704042,0.041990124,0.285669225,0.957002203,-0.027882660,0.737488,0.898659,1.322790
129877.256204042,0.042254278,0.286366863,0.956785607,-0.027745063,0.737406,0.898703,1.322851
129877.258704042,0.041884391,0.286160082,0.956865190,-0.027702049,0.737314,0.898751,1.322930
129877.261204042,0.041788863,0.286452057,0.956785087,-0.027595336,0.737232,0.898795,1.322993
129877.263704042,0.041738173,0.286744262,0.956705924,-0.027364016,0.737186,0.898830,1.323068
129877.266204042,0.041603387,0.287060096,0.956616496,-0.027386177,0.737077,0.898916,1.323123
129877.268704042,0.041818842,0.287969863,0.956335770,-0.027308491,0.736980,0.898981,1.323190
129877.271204042,0.041735772,0.288382982,0.956222943,-0.027049184,0.736933,0.899027,1.323264
129877.273704042,0.041715560,0.288752430,0.956115496,-0.026927513,0.736830,0.899094,1.323333
129877.276204042,0.041629258,0.289167631,0.955998093,-0.026760867,0.736749,0.899168,1.323406
129877.278704042,0.041526822,0.289583457,0.955880843,-0.026633874,0.736661,0.899235,1.323479
129877.281204042,0.041393768,0.290130078,0.955721934,-0.026593475,0.736602,0.899299,1.323542
129877.283704042,0.041796411,0.289564184,0.955884995,-0.026241206,0.736501,0.899378,1.323597
129877.286204042,0.041711712,0.289813805,0.955821666,-0.025941328,0.736467,0.899443,1.323669
129877.288704042,0.042068679,0.289418993,0.955933235,-0.025660204,0.736374,0.899519,1.323727
129877.291204042,0.041754841,0.289259193,0.955999867,-0.025515250,0.736289,0.899587,1.323790
129877.293704042,0.041739883,0.290836863,0.955518983,-0.025602772,0.736182,0.899660,1.323848
129877.296204042,0.041683306,0.289954095,0.955800171,-0.025222434,0.736118,0.899729,1.323895
129877.298704042,0.041491227,0.290634235,0.955601588,-0.025235483,0.736030,0.899786,1.323958
129877.301204042,0.041640962,0.290516790,0.955640693,-0.024837376,0.735967,0.899864,1.323990
129877.303704042,0.041638658,0.290739827,0.955579039,-0.024616401,0.735882,0.899923,1.324039
129877.306204042,0.041683229,0.290885209,0.955538957,-0.024367572,0.735804,0.899977,1.324081
129877.308704042,0.041432589,0.291601964,0.955334297,-0.024250748,0.735734,0.900039,1.324129
129877.311204042,0.041406168,0.291800074,0.955276013,-0.024189638,0.735637,0.900116,1.324174
129877.313704042,0.041427556,0.291880954,0.955258220,-0.023912484,0.735554,0.900159,1.324202
129877.316204042,0.041473406,0.291962677,0.955240104,-0.023550396,0.735522,0.900181,1.324230
129877.318704042,0.041861197,0.291424316,0.955394889,-0.023229334,0.735393,0.900241,1.324247
129877.321204042,0.041901703,0.291507398,0.955374323,-0.022962028,0.735312,0.900288,1.324265
129877.323704042,0.041922483,0.291546522,0.955369045,-0.022666422,0.735229,0.900328,1.324299
129877.326204042,0.041881952,0.291637025,0.955346715,-0.022492029,0.735124,0.900404,1.324328
129877.328704042,0.041970456,0.291641070,0.955350900,-0.022108461,0.735075,0.900425,1.324350
129877.331204042,0.042031015,0.291674681,0.955343688,-0.021860105,0.735005,0.900476,1.324363
129877.333704042,0.042010760,0.291706566,0.955341844,-0.021549770,0.734906,0.900517,1.324398
129877.336204042,0.042043552,0.291759185,0.955331010,-0.021266881,0.734831,0.900560,1.324414
129877.338704042,0.042085004,0.291766542,0.955332757,-0.020983892,0.734744,0.900607,1.324426
129877.341204042,0.042116499,0.291812069,0.955323420,-0.020727868,0.734671,0.900643,1.324440
129877.343704042,0.042028118,0.291930021,0.955297189,-0.020444060,0.734589,0.900691,1.324452
129877.346204042,0.042045653,0.291966979,0.955290116,-0.020232618,0.734502,0.900732,1.324476
129877.348704042,0.042005070,0.292065978,0.955264964,-0.020052583,0.734431,0.900776,1.324475
129877.351204042,0.041896970,0.292244686,0.955219500,-0.019862284,0.734359,0.900811,1.324491
129877.353704042,0.041749580,0.292343956,0.955199216,-0.019673394,0.734285,0.900835,1.324491
129877.356204042,0.041581523,0.292569806,0.955139425,-0.019581662,0.734225,0.900869,1.324501
129877.358704042,0.041450318,0.292739198,0.955095565,-0.019449413,0.734149,0.900877,1.324496
129877.361204042,0.041212567,0.292941380,0.955043705,-0.019423634,0.734096,0.900884,1.324494
129877.363704042,0.040987560,0.293050212,0.955023661,-0.019295819,0.734024,0.900890,1.324485
129877.366204042,0.040795702,0.293294336,0.954956511,-0.019296836,0.733961,0.900894,1.324476
129877.368704042,0.040504138,0.293538756,0.954893562,-0.019298170,0.733904,0.900892,1.324477
129877.371204042,0.040233048,0.293741519,0.954843690,-0.019242088,0.733825,0.900878,1.324466
129877.373704042,0.040015154,0.294020189,0.954765640,-0.019321034,0.733776,0.900868,1.324439
129877.376204042,0.039725683,0.294131523,0.954742752,-0.019372348,0.733721,0.900843,1.324410
129877.378704042,0.039468828,0.294422072,0.954661868,-0.019444369,0.733659,0.900815,1.324394
129877.381204042,0.039191867,0.294591499,0.954620800,-0.019497153,0.733601,0.900784,1.324369
129877.383704042,0.038904457,0.294748842,0.954581941,-0.019583192,0.733555,0.900751,1.324344
129877.386204042,0.038566198,0.294917288,0.954541101,-0.019701234,0.733494,0.900707,1.324329
129877.388704042,0.038250063,0.295018587,0.954520489,-0.019802829,0.733436,0.900665,1.324290
129877.391204042,0.037972297,0.295239677,0.954461326,-0.019885409,0.733385,0.900615,1.324259
129877.393704042,0.037642767,0.295395399,0.954422093,-0.020061394,0.733338,0.900563,1.324223
129877.396204042,0.037282129,0.295507125,0.954398769,-0.020188608,0.733283,0.900496,1.324195
129877.398704042,0.036967956,0.295720949,0.954341379,-0.020371711,0.733227,0.900442,1.324163
129877.401204042,0.036679721,0.295803225,0.954323132,-0.020547441,0.733177,0.900371,1.324121
129877.403704042,0.036383642,0.295922976,0.954293078,-0.020746596,0.733127,0.900300,1.324072
129877.406204042,0.035973968,0.295962280,0.954292337,-0.020929007,0.733087,0.900222,1.324029
129877.408704042,0.036118645,0.296878079,0.954000363,-0.021048890,0.733027,0.900143,1.323985
129877.411204042,0.035816228,0.296964549,0.953980681,-0.021217604,0.732981,0.900058,1.323934
129877.413704042,0.035573321,0.297062572,0.953954178,-0.021432821,0.732934,0.899986,1.323882
129877.416204042,0.034806990,0.296280001,0.954220789,-0.021650348,0.732900,0.899912,1.323831
129877.418704042,0.034548842,0.296266133,0.954230540,-0.021831480,0.732856,0.899826,1.323781
129877.421204042,0.034280867,0.296218255,0.954251419,-0.021995615,0.732817,0.899745,1.323720
129877.423704042,0.033996917,0.296251019,0.954248390,-0.022127407,0.732775,0.899666,1.323675
129877.426204042,0.033806525,0.296234615,0.954256584,-0.022267305,0.732728,0.899588,1.323615
129877.428704042,0.033525537,0.296247565,0.954259214,-0.022416027,0.732697,0.899520,1.323558
129877.431204042,0.033287315,0.296141786,0.954297391,-0.022529762,0.732654,0.899446,1.323492
129877.433704042,0.033072861,0.296096982,0.954316641,-0.022631500,0.732614,0.899373,1.323420
129877.436204042,0.032861925,0.296050072,0.954336563,-0.022725443,0.732584,0.899312,1.323358
129877.438704042,0.032636423,0.295870759,0.954399612,-0.022752736,0.732547,0.899244,1.323287
129877.441204042,0.032481166,0.295844620,0.954411018,-0.022815424,0.732503,0.899189,1.323217
129877.443704042,0.032725042,0.296541463,0.954187603,-0.022744391,0.732463,0.899130,1.323147
129877.446204042,0.032103053,0.295591086,0.954502555,-0.022795703,0.732429,0.899086,1.323072
129877.448704042,0.032503616,0.296403222,0.954238052,-0.022768910,0.732391,0.899042,1.323009
129877.451204042,0.032370638,0.296351739,0.954260168,-0.022698532,0.732347,0.899002,1.322937
129877.453704042,0.032370091,0.296246295,0.954294174,-0.022625518,0.732315,0.898981,1.322879
129877.456204042,0.032366450,0.296198885,0.954311351,-0.022539880,0.732274,0.898959,1.322826
129877.458704042,0.032494992,0.296135747,0.954329818,-0.022421260,0.732256,0.898950,1.322791
129877.461204042,0.032663731,0.296154158,0.954319119,-0.022363471,0.732238,0.898959,1.322761
129877.463704042,0.032815717,0.296094641,0.954334926,-0.022281555,0.732229,0.898965,1.322745
129877.466204042,0.033045005,0.296107670,0.954325312,-0.022138703,0.732219,0.898987,1.322734
129877.468704042,0.033273088,0.296107929,0.954320088,-0.022043915,0.732203,0.899008,1.322732
129877.471204042,0.033089831,0.295215288,0.954603405,-0.022043708,0.732197,0.899047,1.322727
129877.473704042,0.033785076,0.296085337,0.954314383,-0.021815233,0.732176,0.899066,1.322736
129877.476204042,0.034016643,0.296050950,0.954320140,-0.021665219,0.732159,0.899105,1.322762
129877.478704042,0.033835978,0.295135703,0.954612899,-0.021568788,0.732170,0.899143,1.322776
129877.481204042,0.034120987,0.295038521,0.954634222,-0.021468004,0.732154,0.899185,1.322796
129877.483704042,0.034397139,0.294975303,0.954647593,-0.021295878,0.732142,0.899225,1.322809
129877.486204042,0.034717037,0.294987275,0.954635298,-0.021181018,0.732139,0.899269,1.322837
129877.488704042,0.034995026,0.294844772,0.954672587,-0.021044111,0.732139,0.899304,1.322855
129877.491204042,0.035231830,0.294775705,0.954687605,-0.020939990,0.732141,0.899346,1.322877
129877.493704042,0.035431323,0.294625104,0.954729029,-0.020792011,0.732134,0.899374,1.322895
129877.496204042,0.035660630,0.294484511,0.954767148,-0.020689913,0.732120,0.899410,1.322922
129877.498704042,0.035787915,0.294405791,0.954787799,-0.020600273,0.732116,0.899440,1.322936
129877.501204042,0.035927374,0.294288185,0.954821059,-0.020511940,0.732124,0.899462,1.322966
129877.503704042,0.036069309,0.294254123,0.954827690,-0.020413842,0.732118,0.899492,1.322982
129877.506204042,0.036195191,0.294171146,0.954851149,-0.020322780,0.732122,0.899515,1.322995
129877.508704042,0.036274566,0.294086548,0.954874768,-0.020278542,0.732126,0.899529,1.323028
129877.511204042,0.036338185,0.294023132,0.954894068,-0.020199027,0.732124,0.899551,1.323043
129877.513704042,0.036488906,0.293885771,0.954932771,-0.020072442,0.732124,0.899566,1.323052
129877.516204042,0.036572232,0.293840842,0.954945752,-0.019986530,0.732134,0.899589,1.323078
129877.518704042,0.036651121,0.293849693,0.954941247,-0.019904263,0.732147,0.899610,1.323109
129877.521204042,0.036641989,0.293749885,0.954974468,-0.019807949,0.732150,0.899624,1.323132
129877.523704042,0.036748510,0.293718512,0.954982451,-0.019695823,0.732158,0.899636,1.323149
129877.526204042,0.036770287,0.293676874,0.954996103,-0.019605166,0.732169,0.899657,1.323176
129877.528704042,0.036789282,0.293594183,0.955022920,-0.019481214,0.732177,0.899672,1.323191
129877.531204042,0.036869097,0.293531549,0.955041447,-0.019382556,0.732186,0.899685,1.323216
129877.533704042,0.036848940,0.293545658,0.955039711,-0.019292126,0.732197,0.899707,1.323237
129877.536204042,0.037259869,0.294135618,0.954845428,-0.019149659,0.732194,0.899710,1.323248
129877.538704042,0.037254438,0.294154754,0.954842178,-0.019028075,0.732188,0.899737,1.323271
129877.541204042,0.036838957,0.293495471,0.955061707,-0.018998596,0.732202,0.899752,1.323306
129877.543704042,0.037181732,0.294126221,0.954857496,-0.018822473,0.732199,0.899771,1.323310
129877.546204042,0.037167553,0.294065320,0.954878179,-0.018741800,0.732203,0.899784,1.323327
129877.548704042,0.037143823,0.294040504,0.954889525,-0.018595450,0.732196,0.899799,1.323346
129877.551204042,0.037173055,0.294049167,0.954888345,-0.018465959,0.732201,0.899815,1.323357
129877.553704042,0.037148587,0.294049115,0.954892071,-0.018338745,0.732193,0.899832,1.323368
129877.556204042,0.037051280,0.294070699,0.954890980,-0.018235138,0.732184,0.899844,1.323381
129877.558704042,0.036986569,0.294020240,0.954912043,-0.018069075,0.732168,0.899859,1.323389
129877.561204042,0.036925284,0.294038437,0.954911599,-0.017949080,0.732163,0.899869,1.323392
129877.563704042,0.036821664,0.294018244,0.954924379,-0.017812893,0.732138,0.899888,1.323392
129877.566204042,0.036734908,0.294016531,0.954930112,-0.017665372,0.732124,0.899902,1.323404
129877.568704042,0.036701123,0.294046879,0.954924734,-0.017536117,0.732117,0.899915,1.323408
129877.571204042,0.036559880,0.294039989,0.954936016,-0.017371783,0.732089,0.899935,1.323400
129877.573704042,0.036470531,0.293980221,0.954959955,-0.017228415,0.732069,0.899947,1.323397
129877.576204042,0.036390755,0.293984205,0.954964921,-0.017060370,0.732040,0.899962,1.323389
129877.578704042,0.036279778,0.294022033,0.954960139,-0.016905211,0.732013,0.899978,1.323384
